id,company_name,industry,address,city,state,zip,phone,website,employee_count
1,Parks-Henry L.L.C.,Banking,15921 Joshua Roads Suite 698,Shawnchester,Washington,13500,001-318-736-73,www.edwards-scott.com,1094
2,Palmer-Johnson,Education,450 Robert Fall Suite 075,West Deborahview,Ohio,51571,001-278-786-63,mcclure.com,4335
3,Brooks-Thomas,Educational,222 Chelsea Light Apt. 792,South Dana,Missouri,60737,607-948-2175x9,gonzalez-cruz.info,4000
4,"Ward, Malone and Ponce",Retail,34517 Shawn Mount Suite 459,Timothychester,Oregon,87058,6998516632,lyons-brewer.com,4966
5,"Perry, Vega and Taylor",Healthcare,703 Collier Locks,Randyberg,Michigan,34890,+1-453-955-964,martinez-powell.info,7189
6,Moore and Sons,Manufacturing,414 Roberts Port,Blackmouth,California,43882,(884)457-8932x,lane-gray.com,9234
7,Warren LLC,Retail,4584 Norton Points,West Wendy,Alabama,65159,345-589-0814,morgan-phillips.com,1008
8,"Jones, Adams and James",Healthcare,655 Christopher Inlet,Wardview,Arizona,13900,(312) 267-8886,www.gomez.org,8845
9,"Flores, Stokes and Long",Retail,8878 Miller Freeway Suite 770,Macktown,Kentucky,99119,(392)271-7134,taylor.com,1614
10,Bowman-Bradshaw,Education,4389 Jennifer Parkways Apt. 077,New Danielle,New York,87409,875-724-2464,huynh.com,7072
11,"Buchanan, Marshall and Cunningham",Manufacturing,139 Frey Valleys Suite 103,Maryside,Michigan,79036,(436)744-2221x,randolph.net,9115
12,"Neal, Rich and Lawson",Retail,51233 Hernandez Mount Apt. 658,East Allisonside,Georgia,25288,(975)512-0872,williams-baker.com,9750
13,"Rodriguez, Figueroa and Sanchez",Information Technology,181 Johnson Course,East William,Colorado,03979,1438863794,ramirez-lewis.com,400
14,Charles-Schneider,Retail,7397 Bryan Harbor,South Mark,Maryland,92224,910.734.9341x0,beck.biz,5193
15,"Leblanc, Jones and Decker Inc",Retail Trade,1528 Brenda Points,Elizabethchester,Ohio,46847,+1-360-749-451,richardson.biz,5200
16,Dalton and Sons,Manufacturing,91887 Erik Course Apt. 596,Valeriefurt,Texas,54486,238-577-0827,harvey-peters.com,5569
17,"Burgess, Grant and Watts",Retail,5679 Michael Burg,Garciachester,MA,11754,725.945.7387,kim.info,7400
18,Harris-Moran,Training,6247 Hickman Cliffs,South Christineshire,Ohio,13605,783-684-2513,kim.com,8938
19,Miller-Smith,Technology,92129 Madison Parkways,North Aliciamouth,Oregon,29440,001-544-701-14,gaines.biz,1538
20,Pena-Scott,Retail,3011 Williams Camp Suite 382,East Kerri,Texas,50519,+1-473-910-439,ward-robinson.com,1353
21,Miller-Wolf,Technology,703 Howard Lodge Apt. 326,Brownmouth,Connecticut,68748,670-790-5849x8,thomas.biz,1522
22,Lewis-Hernandez,Education,43410 Robert Underpass Suite 117,Lake Zacharybury,Pennsylvania,94682,(446)309-5396,villegas.net,2600
23,Baker PLC,Retail,574 Shirley Hollow,New Tyler,Texas,10304,+1-386-555-070,castaneda.com,1322
24,Hogan-Gallagher,Finance,4123 Timothy Corners Suite 632,Jaimefort,Pennsylvania,15563,371-397-9328x0,reed.net,1137
25,Smith Ltd,Education,408 Drake Fall Apt. 182,East Christine,Pennsylvania,33585,246 315 6793,www.gray-tran.com,7800
26,Ingram Inc,Manufacturing,6083 Miles Gardens Suite 935,Jasonborough,Ohio,59826,698.354.6811x3,baker-watkins.net,970
27,Werner-Brown,Technology,658 Kristina Rue Apt. 205,Lake Susanfort,New York,50049,+1-462-858-565,smith.com,8818
28,Hicks-Martinez,IT,37058 Mcdonald Plaza,New Nicole,OK,09118,767-486-6912x5,bowman.biz,1886
29,Ruiz-Perkins,Technology,461 Moore Plains,Cynthiamouth,Georgia,82095,001-942-874-24,foster.com,7270
30,Kane-Sawyer,Training,87026 Charles Tunnel Suite 596,Port Markside,Wisconsin,50309,478-609-1343x1,williams.com,2813
31,"Chung, Bishop and Johnson",Education,02019 Wilson Cove Apt. 423,Ortizbury,Texas,14255,(915)689-6227,glass-leblanc.com,8866
32,Mcclain-Warren,Education,092 Brewer Haven,Gabriellebury,California,46505,+1-326-804-841,reed.com,9096
33,"Adkins, Thompson and Carorll",Financial Services,044 Russell Prairie Suite 777,New Thomas,Ohio,96964,514 589 5134,www.johnson.info,1700
34,Cox-Perez,Technology,42734 Vanessa Glen,Barkerville,Wisconsin,15062,001-806-660-75,neal.biz,3863
35,"Briggs, Mcclain and Simmons",Finance,77434 Sims Harbor Suite 143,Matthewside,VA,11062,(723) 962-3166,brown-wall.biz,9901
36,Baker-Oliver,Technology,78941 Russell Unions Apt. 766,New Angela,Kentucky,72725,535-493-8644x6,weaver.com,4083
37,Lee Ltd,Finance,125 Donald Junctions Suite 248,Tanyaborough,Michigan,91252,+1-649-979-967,hampton.com,663
38,Barnett-Phillips,Healthcare,84234 Smith Crossing,Diazstad,Arizona,58578,9332370443,ortiz-nichols.biz,695
39,"Brown, Lambert and Thomas",Education,24158 Raymond Summit Apt. 311,New Haroldville,Minnesota,37146,755.789.4992x2,williams.com,5157
40,Mason LLC,Manufacturing,206 William Hollow Apt. 364,Janetmouth,Illinois,75809,+1-688-595-769,ramirez-crane.biz,45
41,"Fernandez, Bailey and Jones",Healthcare,8568 Macdonald Fort,Brockstad,Iowa,77742,(795)668-4439x,skinner.biz,4343
42,Andrews-Gibbs,Finance,929 Gallagher Fork,Oscarburgh,Utah,15595,683-400-0772x9,luna-martinez.com,3356
43,Bowers-Mullins,Healthcare,16178 Wright Rapid,Lopezshire,Massachusetts,46805,919-543-8399x9,medina.net,6922
44,Herrera-Boone L.L.C.,Industrial,45650 Williams Points Apt. 584,South Williamside,Illinois,37164,1891221655,williams.com,60
45,Allen PLC,Healthcare,5248 Dyer Centers,Connorport,Oklahoma,40184,001-394-500-50,stevens-martin.biz,1132
46,"Cross, Gaines and Murray",Education,914 Gray Manors Apt. 064,South Melanie,Minnesota,31964,344-475-6814x0,wood.biz,7983
47,Harris Corporation,Finance,9030 Gonzales Plains,Port Michelle,Connecticut,07899,5846395995,www.odom.com,3933
48,"Cardenas, Owens and Beck",Retail,2098 Phillip Hill,New Garyhaven,Indiana,00801,484.781.5903,castro.biz,2589
49,Williams-Bernard,Education,06628 Martinez Stream,Annamouth,Florida,20871,001-603-466-52,smith-miller.com,2452
50,"Jones, Smith and Carr",Healthcare,38215 Johnny Port,Lake Kevinland,Utah,08334,001-877-393-34,ramos.com,2734
51,"Lawson, Brown and Phillips",Retail,43371 Garcia Centers Suite 932,East Trevor,Texas,89117,443.600.7466,berry-thomas.biz,7821
52,"Mosley, Morris and Simmons",Education,757 Bryce Wall Apt. 952,South Scott,Minnesota,95866,417-914-7274,gonzales.info,1622
53,Davis Inc,Finance,130 Melinda Path,East Chrisberg,Washington,30665,281.441.9040x3,nelson.com,7464
54,"Walsh, Wright and Deleon",Finance,89646 Eaton Cove,Clarkland,Massachusetts,16910,(777)893-4471x,haas.com,1198
55,"Morales, Jenkins and Frederick",Finance,165 Timothy Ford,Douglasmouth,Illinois,06225,897-842-3082x8,harmon.com,7589
56,Farmer-Ryan Incorporated,Commerce,570 Sarah Wells,Johnbury,Florida,74865,417-618-2278,www.brennan.net,6922
57,Bailey-Martinez,Healthcare,8025 Snow Ville,Lifort,Ohio,42943,001-270-963-75,austin-wilson.com,8796
58,Weaver-White,Retail,497 Powell Row,New Davidmouth,Maryland,74184,+1-442-289-977,walters.com,2436
59,Mendoza-Johnston,Finance,1491 Hartman Forks,New Susan,Georgia,05011,480.536.5034,porter.info,6494
60,Stone-Hernandez,Academic,9526 Wheeler Parkways,Ericksonport,Iowa,62746,(955) 616-9409,www.patton.com,4325
61,"West, Bryan and Jones",Manufacturing,87272 Lori Inlet,Michaelton,Colorado,67616,(939)794-6044x,ortiz.org,4543
62,Davis Group,Healthcare,6701 Richard Junction Apt. 333,Taylorburgh,Ohio,37010,831.978.1080x1,www.lewis-morales.com,8289
63,Murphy Ltd,Manufacturing,24905 Paul Forge,Jonathanbury,Indiana,55140,001-803-911-70,cox.com,4124
64,Anthony-Owens,Healthcare,409 Morales Crest,Adamsland,Connecticut,70957,+1-999-851-535,miller-wright.org,6064
65,Levine-Mcdonald,Technology,546 Patricia Avenue,North Clinton,New York,71766,809-410-3788x8,yang-snyder.info,9074
66,"Hernandez, Ford and Berry",Finance,729 Stone Road Suite 982,Pettyhaven,Connecticut,75966,693-507-2219x2,stevenson.com,3451
67,Schmidt Group,Education,47106 Gregory Ways,Robertsonton,Wisconsin,68052,454.237.8207,turner-sullivan.biz,8676
68,"James, Atkins and Alexander",Finance,924 Morrison Square Apt. 752,Novakport,SC,96822,001-479-235-64,www.murray.com,6547
69,Chase and Sons,Technology,367 Jones Village Suite 179,North Scottport,Missouri,18780,876-468-1548x8,roberson.biz,1842
70,Kim-Wolfe,Finance,93248 Andrea Course,Port Robin,VA,60983,5279484677,www.thomas.com,3442
71,Garcia-Nolan,Retail,182 John Mill Suite 889,West Nathan,Arizona,37580,(465)790-5151x,www.aguilar.com,6553
72,Hahn PLC,Retail,96513 Banks Route Suite 263,Martinmouth,Ohio,39419,+1-471-320-970,perez.org,4355
73,Lloyd-Moreno,Healthcare,6938 Jacobs Alley Apt. 407,South Andrea,Louisiana,60853,001-690-840-71,decker-palmer.com,4301
74,Johnson LLC,Education,674 Latoya Junction,Stephaniestad,Michigan,36007,951-252-8752x5,johnson.com,1707
75,"Estes, Baker and Rodriguez",Banking,5698 Paul Ports Apt. 406,New Saraside,New Jersey,90528,001-735-861-59,phillips.biz,2557
76,Johnson Ltd,Technology,06789 Daniel Row,South Sara,Texas,60714,319.364.4162x5,williams.biz,5474
77,Gray Group,Technology,4687 James Forge Apt. 980,Brianshire,Wisconsin,62994,582.208.1219x1,miller.com,9205
78,James-Bradley,Education,10659 Henry Fork Suite 678,Jeffreystad,Arizona,02773,486-594-9999x2,monroe.com,9572
79,"Taylor, Richardson and Edwards",Finance,10278 Mcintyre Crest Suite 473,Heatherfort,Indiana,26738,321 672 7155,www.york-joseph.com,9074
80,"Russell, Thomas and Smith",Education,408 Todd Drives Apt. 147,Walterhaven,Illinois,42752,771-582-4253x0,james-powell.com,7249
81,Richardson Inc,Technology,539 Webb Hollow,Jonathanport,Missouri,14210,620-823-3912x1,foster.info,6059
82,Mendza Group,Retail,8783 Erin Ranch Apt. 878,Christianshire,Iowa,15208,9883398225,harris.net,19
83,Dawson Ltd,Education,66443 Norman Cove,Jeremyshire,Pennsylvania,54557,349-739-8198x0,goodwin.com,4925
84,Osborne-Lowe,Technology,66232 Salazar Greens,Johnfurt,Washington,51640,323.529.7300x6,lucas-morales.com,9343
85,"Cross, Hughes and Parker",Manufacturing,10987 Henry Freeway Apt. 380,North Timothytown,Virginia,71816,885-857-5386,mckinney.info,6745
86,Davis-Kidd,Healthcare,777 Moore Mountain,South Crystal,Wisconsin,39593,001-281-927-45,morris.net,5627
87,Hawkins-Kirk,Technology,4260 Johnson Union Suite 324,Youngchester,Ohio,70371,(809)956-5553x,barnes.com,9499
88,Scott-Lambert,Education,74124 Joseph Lakes,Bernardside,Massachusetts,13012,(755)211-5994,wyatt.com,897
89,"Green, Johnston and Blake",Finance,9770 Tran Road Suite 435,North David,Alabama,04263,5666186236,watts.info,946
90,Jones-Williams,Healthcare,51238 Andrea Isle,Mullenbury,New York,53591,+1-522-566-093,www.goodwin-stokes.com,3691
91,"Castillo, Warren and Griffith",Medicine,30913 Scott Manor Apt. 636,Salaston,IN,93008,(483)985-7865,www.peterson.com,8300
92,"Riggs, Roman and Rice",Healthcare,124 Pamela Summit Apt. 449,Lake Matthew,AZ,90612,164-847-4016,ramos.com,7369
93,"King, Thompson and Guerrero Corporation",Technology,05395 Grant Center,Lake Robert,Oregon,15397,001-617-975-89,www.maynard.biz,5178
94,Young PLC Co.,Industrial,440 Hill Port Apt. 974,New Laurie,Illinois,29206,+1-339-642-104,www.burgess-thompson.com,6226
95,Stewart-Lee,Healthcare,860 Ross Gateway Suite 653,Lake Lisafort,Pennsylvania,48147,(293)937-7148,johnson-george.com,4871
96,Christian-Roberts,Education,301 Keith Garden Apt. 805,East Scott,Missouri,13278,(817)818-6707x,perez-finley.info,7017
97,"Garcia, Wiggins and Lopez",Finance,71478 Harper Ridge Suite 915,Meganburgh,Florida,88789,001-749-491-25,price.biz,400
98,"Bright, Campbell and Nguyen",Manufacturing,801 Hernandez Neck Suite 428,Brownport,Arizona,07606,(987)283-4055,reed.com,7896
99,Turner-Brown,Healthcare,687 Teresa Row,Floydmouth,Texas,91767,(862) 846-2873,www.moreno.com,9300
100,Martinez Ltd,Finance,1912 Christopher Club Apt. 674,Hardymouth,Pennsylvania,05053,(933)733-2255x,noble-livingston.com,4626
